id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000176,176,0267_840790,projective_relations,0.6,0.952826,3,13,3,20.08165215798517,0.5145669147265057,0.7546759531431927,0.0001505559205701759,0.6000003333322221,True,2,1,0.47936886728802874,0,auto_term,3
sft_000178,178,0267_840790,occlusion_alignment,0.369662,0.989042,4,16,5,0.09905481407994082,0.21220478300542206,0.24589904107703264,0.0014207901407293333,0.3696617872811418,False,3,2,0.6877833162176901,0,none,-1
sft_000180,180,0267_840790,equidistance,0.054246,0.965995,5,24,6,0.27505927855491846,0.12057003275659059,0.1147661297964371,0.17855376240448648,0.12057003275659059,False,2,0,0.461897455588727,0,none,-1
sft_000183,183,0267_840790,equidistance,0.411279,0.971098,5,21,1,20.538289290045622,0.4642873775134055,0.5443039882517653,0.21689611994488428,0.4642873775134055,True,0,1,0.46678520434658166,0,auto_term,1
sft_000184,184,0267_840790,projective_relations,0.592787,0.966653,3,11,3,20.111838234472188,0.5545175264699113,0.8518302410934884,0.003843048683964138,0.5927872277155284,True,2,1,0.4859730850949958,0,auto_term,3
sft_000186,186,0267_840790,occlusion_alignment,0.393677,0.988516,4,15,5,0.06820465409062981,0.19316652648031613,0.22075202114231854,0.006645431222104542,0.39367656393321504,False,3,1,0.6784596728169592,0,none,-1
sft_000187,187,0267_840790,size_distance_invariance,0.514472,0.973029,3,13,1,20.56893324875824,0.5834861327672871,0.7545671190284458,0.21689611994488428,0.5834861327672871,True,0,1,0.48942627127606286,0,auto_term,1
sft_000191,191,0267_840790,size_distance_invariance,0.586999,0.970608,2,6,1,20.720634226882513,0.9388853981486815,0.9539023196175419,0.9148601956149178,0.9388853981486815,True,0,1,0.4996911389550742,0,auto_term,1
sft_000197,197,0267_840790,equidistance,0.493842,0.994288,3,13,2,20.407633026314112,0.6322062234779139,0.9608201064600955,0.11155639901057134,0.6322062234779139,True,1,1,0.4934506835392584,0,auto_term,2
sft_000201,201,0267_840790,equidistance,0.320208,0.952501,3,13,2,20.46585839341329,0.5831430768027116,0.9411137007941057,4.477755759267211e-06,0.5831430768027116,True,1,1,0.4893907061787376,0,auto_term,2
sft_000202,202,0267_840790,projective_relations,0.575323,0.989168,4,20,3,-0.6000000000000001,0.5753227154712179,0.9162309290832091,0.0,0.5753227154712179,False,3,0,0.0,0,none,3
sft_000204,204,0267_840790,equidistance,0.320208,0.952501,5,21,4,21.353234607637617,0.5831430768027116,0.9411137007941057,4.4777557592672125e-06,0.5831430768027116,True,1,3,1.286766920403068,0,auto_term,4
sft_000205,205,0267_840790,equidistance,0.166312,0.995869,4,20,2,20.476874366853277,0.4848299545192828,0.6886139015017771,9.219812051645243e-13,0.4848299545192828,True,1,1,0.47261535876210287,0,auto_term,2
sft_000206,206,0267_840790,projective_relations,0.568019,0.98646,4,18,3,-0.6000000000000001,0.5680194851658786,0.894092772381221,0.0,0.5680194851658786,False,3,0,0.0,0,none,3
sft_000209,209,0267_840790,equidistance,0.341698,0.993636,4,17,2,20.458734835797625,0.5891697464571831,0.9612613559742555,9.219812051645243e-13,0.5891697464571831,True,1,1,0.4899987961603428,0,auto_term,2
sft_000210,210,0267_840790,projective_relations,0.507371,0.963688,6,22,1,20.556282464773364,0.5572535946865925,0.7382703419484308,0.15949225279876106,0.5572535946865925,True,0,1,0.4863413264024281,0,auto_term,1
sft_000213,213,0267_840790,equidistance,0.061319,0.991635,6,26,5,21.486018669782975,0.8731553659474569,0.9008503756882267,0.8253768312477928,0.8731553659474569,True,1,2,1.1001006783931229,0,auto_term,5
sft_000214,214,0267_840790,projective_relations,0.551976,0.974992,5,21,1,20.572974990477544,0.6223607690369548,0.8485736772891967,0.20137161607203716,0.6223607690369548,True,0,1,0.492782844437834,0,auto_term,1
sft_000215,215,0267_840790,projective_relations,0.531551,0.98865,4,17,2,20.37023879348857,0.6000123903385522,1.0,3.0142540944074982e-05,0.6000123903385522,True,1,1,0.49100798918815425,0,auto_term,2
