id,source_item_idx,scene_id,task_type,sft_initial_score,sft_final_score,sft_n_steps,sft_n_actions,env_n_steps,env_sum_reward,env_final_total_score,env_final_pos_score,env_final_ori_score,env_best_score,env_traj_success,env_invalid_actions,env_near_success_steps,env_near_success_bonus,env_collisions,success_path,done_at_step
sft_000220,220,0267_840790,occlusion_alignment,0.550969,0.989354,3,10,3,-0.6000000000000001,0.5509686432855754,0.8458389391797344,2.5822525609203372e-14,0.5509686432855754,False,3,0,0.0,0,none,3
sft_000222,222,0267_840790,equidistance,0.005864,0.981736,6,23,7,-0.6617755645526328,0.008278219472074178,0.00874264979215451,4.3672877131807495e-13,0.008278219472074178,False,4,0,0.0014726127261738787,0,none,-1
sft_000223,223,0267_840790,projective_relations,0.583302,0.985954,5,21,6,0.21130285460068288,0.5966486943484878,0.9876229106375216,2.611736917267782e-12,0.8853096112653763,False,3,1,0.6821478372716909,0,none,-1
sft_000228,228,0267_840790,projective_relations,0.59522,0.967736,3,11,3,50.778264228350054,0.9678201658824235,0.956093476250498,0.9865236236347115,0.9678201658824235,True,1,1,0.6027300117768596,0,auto_term,3
sft_000229,229,0267_840790,projective_relations,0.494344,0.96081,6,26,7,0.13955131936283716,0.6479046240125511,0.9898739742156614,0.12767435817628972,0.6479046240125511,False,3,0,0.454906336867799,0,none,-1
sft_000230,230,0267_840790,occlusion_alignment,0.307028,0.954602,5,23,6,-0.8193318486624721,0.1601333410608237,0.10055952516958819,0.7939707895037064,0.30743385136121915,False,4,0,0.011924810796467311,0,none,6
sft_000233,233,0267_840790,projective_relations,0.097506,0.988033,4,18,4,-0.5545733872445544,0.0975065284516961,0.10693652619341999,1.0288573371961206e-05,0.0975065284516961,False,3,0,0.0012059390903254444,0,none,4
sft_000234,234,0267_840790,projective_relations,0.597629,0.990458,4,17,5,-0.2552530559183696,0.5976286476427616,0.9912029608622498,1.533484114902317e-12,0.5976331276352334,False,3,0,0.2643090382833674,0,none,-1
sft_000235,235,0267_840790,occlusion_alignment,0.594898,0.998094,3,10,3,-0.6000000000000001,0.594897921549896,0.9813030266501999,3.320529260241743e-16,0.594897921549896,False,3,0,0.0,0,none,3
sft_000236,236,0267_840790,equidistance,0.485489,0.98904,3,13,3,50.890703512693136,0.9914365926689686,0.9997288980041907,0.9789934328806045,0.9914365926689686,True,1,1,0.6086759785541234,0,auto_term,3
sft_000237,237,0267_840790,projective_relations,0.593902,0.966583,3,15,3,-0.6000000000000001,0.5939020138155038,0.9777502353049828,0.0,0.5939020138155038,False,3,0,0.0,0,none,3
sft_000239,239,0267_840790,occlusion_alignment,0.103384,0.988215,5,22,6,-0.6406243942637642,0.18771288972015115,0.13133213804953495,0.7131508116963144,0.18771288972015115,False,4,0,0.004241919241275739,0,none,6
sft_000241,241,0267_840790,equidistance,0.072058,0.977373,4,20,5,-0.4672881653442134,0.09935807847694837,0.09759353958383497,0.11838833438074557,0.3996577536976538,False,3,0,0.024864168779564655,0,none,-1
sft_000243,243,0267_840790,projective_relations,0.551909,0.97735,5,21,6,-0.06458817908608444,0.5950515427864438,0.9818537407756858,1.5746986585108245e-12,0.6225440406957057,False,3,0,0.38005422036825065,0,none,-1
sft_000244,244,0267_840790,occlusion_alignment,0.363444,0.957549,3,15,4,-0.34371832494452326,0.5334718830681525,0.8003462511554764,2.820239942654681e-12,0.5334718830681525,False,3,0,0.07952716800516928,0,none,-1
sft_000245,245,0267_840790,projective_relations,0.586246,0.957546,3,13,3,-0.6000000000000001,0.5862458524235645,0.9513762824986183,0.0,0.5862458524235645,False,3,0,0.0,0,none,3
